city	state_id	lat	lng	density	timezone
New York	NY	40.6943	-73.9249	10768	America/New_York
Los Angeles	CA	34.1141	-118.4068	3267	America/Los_Angeles
Chicago	IL	41.8375	-87.6866	4576	America/Chicago
Miami	FL	25.784	-80.2101	4945	America/New_York
Dallas	TX	32.7935	-96.7667	1522	America/Chicago
Houston	TX	29.786	-95.3885	1394	America/Chicago
Philadelphia	PA	40.0077	-75.1339	4544	America/New_York
Atlanta	GA	33.7628	-84.422	1419	America/New_York
Washington	DC	38.9047	-77.0163	4434	America/New_York
Boston	MA	42.3188	-71.0852	5505	America/New_York
Phoenix	AZ	33.5722	-112.0892	1236	America/Phoenix
Detroit	MI	42.3834	-83.1024	1871	America/Detroit
San Francisco	CA	37.7558	-122.4449	7199	America/Los_Angeles
Seattle	WA	47.6211	-122.3244	3414	America/Los_Angeles
San Diego	CA	32.8313	-117.1222	1675	America/Los_Angeles
Minneapolis	MN	44.9635	-93.2678	3035	America/Chicago
Tampa	FL	27.9945	-82.4447	1340	America/New_York
Brooklyn	NY	40.6501	-73.9496	15200	America/New_York
Denver	CO	39.762	-104.8758	1805	America/Denver
Queens	NY	40.7498	-73.7976	8503	America/New_York
Baltimore	MD	39.3051	-76.6144	2872	America/New_York
Las Vegas	NV	36.2333	-115.2654	1754	America/Los_Angeles
St. Louis	MO	38.6359	-90.2451	1905	America/Chicago
Riverside	CA	33.9381	-117.3949	1556	America/Los_Angeles
Portland	OR	45.5371	-122.65	1881	America/Los_Angeles
San Antonio	TX	29.4632	-98.5238	1183	America/Chicago
Sacramento	CA	38.5677	-121.4685	1971	America/Los_Angeles
San Juan	PR	18.3985	-66.061	2982	America/Puerto_Rico
San Jose	CA	37.3012	-121.848	2229	America/Los_Angeles
Orlando	FL	28.4773	-81.337	994	America/New_York
Cleveland	OH	41.4764	-81.6805	1903	America/New_York
Pittsburgh	PA	40.4397	-79.9763	2100	America/New_York
Manhattan	NY	40.7834	-73.9662	28653	America/New_York
Austin	TX	30.3005	-97.7522	1165	America/Chicago
Cincinnati	OH	39.1413	-84.506	1501	America/New_York
Indianapolis	IN	39.7771	-86.1458	928	America/Indiana/Indianapolis
Kansas City	MO	39.1238	-94.5541	602	America/Chicago
Columbus	OH	39.9862	-82.9855	1560	America/New_York
Charlotte	NC	35.2083	-80.8303	1094	America/New_York
Virginia Beach	VA	36.7335	-76.0435	711	America/New_York
Bronx	NY	40.8501	-73.8662	13356	America/New_York
Milwaukee	WI	43.0642	-87.9675	2379	America/Chicago
Providence	RI	41.823	-71.4187	3764	America/New_York
Jacksonville	FL	30.3322	-81.6749	466	America/New_York
